external_ref,farmer_label,amphoe,tambon,current_crop,size_rai,lat,lng,elevation_m,water_source,slope_class,notes
NAN-015,แปลงตัวอย่าง 15,เฉลิมพระเกียรติ,ห้วยโก๋น,ข้าวโพดเลี้ยงสัตว์,7,19.470,101.247,1080,น้ำฝน,สูง,พื้นที่ชายแดนสูง
NAN-016,แปลงตัวอย่าง 16,เฉลิมพระเกียรติ,ขุนน่าน,ข้าวโพดเลี้ยงสัตว์,9,19.512,101.222,1220,น้ำฝน,สูง,ทดสอบ highland guardrails
NAN-017,แปลงตัวอย่าง 17,ทุ่งช้าง,ทุ่งช้าง,ข้าวโพดเลี้ยงสัตว์,12,19.408,100.882,520,น้ำฝน,กลาง,พื้นที่กลางตอนเหนือ
NAN-018,แปลงตัวอย่าง 18,ทุ่งช้าง,งอบ,ข้าวไร่,6,19.445,100.913,680,น้ำฝน,สูง,transition zone
NAN-019,แปลงตัวอย่าง 19,เชียงกลาง,เชียงกลาง,ข้าวโพดเลี้ยงสัตว์,10,19.296,100.866,460,น้ำฝน,กลาง,แปลงทดสอบทั่วไป
NAN-020,แปลงตัวอย่าง 20,เชียงกลาง,พระธาตุ,พื้นที่ว่าง/เพิ่งถาง,4,19.321,100.892,560,น้ำฝน,กลาง,แปลงขนาดเล็ก
NAN-021,แปลงตัวอย่าง 21,แม่จริม,หนองแดง,ข้าวโพดเลี้ยงสัตว์,16,18.683,100.967,360,น้ำฝน,กลาง,พื้นที่ต้นน้ำ ควรเน้น buffer
NAN-022,แปลงตัวอย่าง 22,แม่จริม,หมอเมือง,ข้าวไร่,9,18.706,101.014,440,น้ำฝน,สูง,แปลงลาดชัน
NAN-023,แปลงตัวอย่าง 23,บ้านหลวง,บ้านฟ้า,ข้าวโพดเลี้ยงสัตว์,11,18.836,100.585,540,น้ำฝน,กลาง,ทดสอบพื้นที่ตะวันตก
NAN-024,แปลงตัวอย่าง 24,บ้านหลวง,ป่าคาหลวง,พื้นที่ว่าง/เพิ่งถาง,5,18.871,100.552,700,น้ำฝน,สูง,transition สูงกลาง
NAN-025,แปลงตัวอย่าง 25,ภูเพียง,ม่วงตึ๊ด,ข้าวโพดเลี้ยงสัตว์,8,18.768,100.839,230,น้ำฝน,ต่ำ,ใกล้ลำน้ำน่าน
NAN-026,แปลงตัวอย่าง 26,ภูเพียง,ท่าน้าว,มันสำปะหลัง,6,18.743,100.861,260,น้ำฝน,ต่ำ,ทดสอบ flood/water buffer
NAN-027,แปลงตัวอย่าง 27,สองแคว,นาไร่หลวง,ข้าวโพดเลี้ยงสัตว์,10,19.356,100.706,620,น้ำฝน,สูง,พื้นที่เขาสูงตอนเหนือ
NAN-028,แปลงตัวอย่าง 28,สองแคว,ชนแดน,ข้าวไร่,7,19.392,100.742,740,น้ำฝน,สูง,แปลงข้าวไร่เดิม
NAN-029,แปลงตัวอย่าง 29,บ่อเกลือ,ดงพญา,ข้าวโพดเลี้ยงสัตว์,6,19.219,101.109,1350,น้ำฝน,สูง,highland extreme สำหรับตรวจไม่แนะนำพืชต่ำ
NAN-030,แปลงตัวอย่าง 30,เวียงสา,ส้าน,ข้าวโพดเลี้ยงสัตว์,20,18.512,100.774,180,น้ำฝน,ต่ำ,lowland extreme สำหรับตรวจไม่แนะนำกาแฟ
